<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TBD,20170705,33.27,33.27,33.27,33.26,200,62.00,62.00,62.00,62.00,0,0,0
TBD,20170629,29.67,31.66,29.67,31.65,500,55.30,59.00,55.30,59.00,0,0,0
TBD,20170628,29.62,29.67,29.62,29.67,1300,55.20,55.30,55.20,55.30,11053,0,0
TBD,20170627,29.56,29.56,29.51,29.51,6000,55.10,55.10,55.00,55.00,0,0,0
TBD,20170626,29.51,29.67,29.51,29.67,1200,55.00,55.30,55.00,55.30,0,0,0
TBD,20170623,28.97,28.97,28.97,28.97,300,54.00,54.00,54.00,54.00,0,0,0
TBD,20170622,29.51,29.51,29.51,29.51,3000,55.00,55.00,55.00,55.00,24570,0,0
TBD,20170620,29.50,29.50,29.50,29.51,1200,55.00,55.00,55.00,55.00,0,0,0
TBD,20170619,28.43,28.43,28.43,28.43,1000,53.00,53.00,53.00,53.00,0,0,0
TBD,20170616,28.44,28.44,28.44,28.43,2000,53.00,53.00,53.00,53.00,0,0,0
TBD,20170614,29.50,30.04,28.97,28.97,1702,55.00,56.00,54.00,54.00,0,0,0
TBD,20170612,28.70,28.70,28.70,28.70,300,53.50,53.50,53.50,53.50,0,0,0
TBD,20170606,29.24,29.24,29.24,29.24,200,54.50,54.50,54.50,54.50,3452,0,0
TBD,20170605,28.98,28.98,28.98,28.97,100,54.00,54.00,54.00,54.00,0,0,0
